english,russian
substitute,"замена, заменитель, заместитель, заменить, заменять"
substitution,"замещение, подмена, замена"
subtle,"тонкий, изысканный, нежный, ловкий"
suburb,"окраина, пригород, предместье, окрестности города"
suburban,"загородный, пригородный"
succession,"преемственность, последовательность"
successive,"последовательный, последующий"
successor,"наследник, преемник, правопреемник"
suck,"сосать, всасывать"
sue,"подавать иск, подавать в суд"
suffering,"страдание, страдания"
sufficient,достаточный
sufficiently,достаточно
suicide,"суицид, самоубийство"
suite,"набор, пакет, комплект"
summit,"саммит, вершина, верх"
super,"супер, превосходный, очень, крайне"
superb,"превосходный, великолепный, прекрасный, бесподобный"
superior,"превосходный, высший, лучший"
supervise,"наблюдать, контролировать"
supervision,"контроль, надзор"
supervisor,"руководитель, начальник"
supplement,"дополнять, добавка, дополнение"
supportive,"поддерживающий, вспомогающий"
supposedly,"якобы, предположительно"
suppress,"подавлять, сдерживать"
supreme,"верховный, высший"
surge,"всплеск, повышение, волна, подъём, подниматься"
surgeon,хирург
surgical,хирургический
surplus,"избыток, излишек, профицит"
surrender,"сдаваться, капитулировать, сдавать, капитуляция, сдача"
surveillance,"слежка, наблюдение, надзор"
survival,выживание
survivor,выживший
suspend,"приостанавливать, подвешивать, откладывать"
suspension,"подвеска, приостановление"
suspicion,"подозрение, сомнение"
suspicious,"подозрительный, недоверчивый, недоверительный"
sustain,"поддерживать, выдерживать"
sustainable,устойчивый
swallow,"глотать, проглатывать, сдерживать"
swing,"качели, размах, качать, поворачивать, раскачивать"
sword,меч
symbolic,"символический, символьный, знаковый"
sympathetic,"сочувствующий, симпатичный, милый, приятный"
syndrome,"синдром, совокупность симптомов"
synthesis,"синтез, обобщение"
systematic,"систематический, системный"
tackle,"снасть, захват, решать, бороться"
tactic,тактика
tactical,"тактический, боевой, оперативный"
tag,"тег, бирка, метка, пометить, метить, помечать"
tap,"кран, отвод, смеситель, нажать, нажимать"
taxpayer,налогоплательщик
technological,технологический
teens,подростки
temple,"храм, висок"
temporarily,"временно, на время"
tempt,"искушать, соблазнять, уговаривать, склонять"
tenant,"арендатор, съёмщик"
tendency,"тенденция, склонность"
tender,"предложение, нежный, ласковый, хрупкий, чуткий, чувствительный"
tension,"напряжение, натяжение, напряжённость"
tenure,"должность, владение, срок полномочий"
terminal,"терминал, вокзал, конечная станция, завершающий, последний"
terminate,"прекратить, прекращать, прерывать, прервать, закончить, заканчивать"
terms,"условия, сроки"
terrain,"местность, территория, рельеф, район"
terribly,ужасно
terrific,"страшный, ужасающий"
terrify,"пугать, ужасать"
territory,территория
terror,"террор, ужас, страх"
terrorism,терроризм
terrorist,"террорист, террористический"
testify,свидетельствовать
testimony,"свидетельство, показание"
testing,"тестирование, испытание"
textbook,учебник
texture,"текстура, фактура"
thankfully,"к счастью, с благодарностью, благодарно"
theatrical,"театральный, сценический"
theft,"кража, хищение, воровство"
theology,"богословие, теология"
theoretical,"теоретический, аналитический"
therapist,терапевт
thereafter,"затем, впоследствии, соответственно"
thereby,"тем самым, таким образом, вследствие чего, в связи с этим"
thesis,"тезис, диссертация, положение"
thoughtful,"продуманный, задумчивый, вдумчивый, содержательный"
thought-provoking,заставляющий задуматься
thorough,"тщательный, всесторонний, обстоятельный, основательный, полный"
thoroughly,"тщательно, полностью"
thread,"нить, нитка, резьба"
threshold,"порог, лимит, планка"
thrilled,"взволнованный, взбудораженный, очарованный"
thrive,"процветать, преуспевать"
thumb,большой палец
tide,"прилив, отлив, течение"
tighten,"затянуть, затягивать, натягивать, натянуть"
timber,"лес, древесина, деревоматериалы, лесоматериалы"
timely,"своевременный, актуальный"
timing,"хронометраж, синхронизация, момент"
tissue,"ткань, салфетка"
tobacco,табак
tolerance,"толерантность, терпимость, допуск, переносимость"
tolerate,"терпеть, выдерживать"
toll,"плата, сбор, пошлина, плата за проезд, звон, потери"
ton,тонна
tonne,тонна
top,"быть во главе, покрывать что-либо"
torture,"пытка, мука, истязание, муки, наказание, мучить, пытать, терзать"
toss,"бросить, бросать, швырнуть, швырять, выбрасывать"
total,"подсчитывать, насчитывать, равняться"
tournament,"турнир, чемпионат, соревнование"
toxic,"токсичный, токсический, ядовитый"
trace,"выслеживать, выходить на кого-то, отслеживать, след, отпечаток"
trademark,"товарный знак, товарная марка"
trading,"торговля, трейдинг"
tragedy,"трагедия, несчастье"
tragic,трагический
trail,"тропа, маршрут, след, тропинка, тащить, выслеживать"
trailer,"трейлер, прицеп"
trait,"признак, черта, качество"
transaction,"транзакция, сделка, операция, дело"
transcript,"транскрипция, стенограмма, выписка"
transformation,"трансформация, преобразование"
transit,"транзит, перевозка"
transmission,"трансмиссия, коробка передач, передача"
transmit,"передать, передавать"
transparency,"прозрачность, транспарентность"
transparent,прозрачный
transportation,"транспортировка, перевозка, грузоперевозка"
trap,"ловушка, поставить ловушку, поймать в ловушку"
trauma,травма
treasure,"сокровище, клад"
treaty,"договор, соглашение"
tremendous,"огромный, потрясающий, колоссальный, громадный, невероятный"
tribal,"племенной, родоплеменной, родовой"
tribe,племя
tribunal,"суд, трибунал, судейская коллегия"
tribute,"дань, должное, награда"
trigger,"триггер, спусковой крючок, вызывать, спускать"
trillion,триллион
trio,"трио, троица"
triumph,триумф
troop,"отряд, группа"
trophy,"трофей, приз"
troubled,"трудный, беспокойный, проблемный"
trustee,"попечитель, доверенное лицо, управляющий"
tsunami,цунами
tuition,обучение
turnout,"публика, явка"
turnover,"оборот, товарооборот, текучесть кадров, передача мяча"
twist,"твист, поворот, изгиб, скрутить, крутить, скручивать"
ultimate,"окончательный, конечный, максимальный, высший"
unacceptable,"неприемлемый, недопустимый"
uncertainty,"неопределённость, неуверенность, неизвестность, неточность"
undergo,"приходить, подвергаться, претерпевать, переживать"
undergraduate,студент
underlying,"основной, основополагающий"
undermine,"подрывать, ослаблять, разрушать"
undertake,"предпринимать, обязаться, браться, брать на себя"
undoubtedly,"несомненно, безусловно, бесспорно"
unfold,"раскрыть, развернуть, раскрывать, разворачивать"
unfortunate,"неудачный, несчастный, досадный, прискорбный"
unify,"унифицировать, объединять, консолидировать"
unite,"объединять, объединяться, сплотить, сплотиться"
unity,"единство, сплоченность"
universal,"универсальный, всеобщий"
unprecedented,"беспрецедентный, небывалый, невиданный"
unveil,"раскрывать, обнародовать, представлять, разоблачать, проливать свет"
upcoming,"наступающий, предстоящий, будущий"
upgrade,"улучшение, обновление, модернизация, модернизировать, улучшать"
uphold,"поддерживать, соблюдать, защищать"
urgent,"срочный, неотложный, экстренный"
usage,"использование, применение, употребление"
useless,"бесполезный, ненужный, непригодный"
utility,"утилита, полезность, коммунальные услуги, коммунальные службы"
utilize,"использовать, воспользоваться, пользоваться"
utterly,"совершенно, точно, полностью, крайне"
vacuum,"вакуум, пылесос, пустота, безвоздушное пространство"
vague,"туманный, нечёткий, смутный, неясный, расплывчатый"
valid,"валидный, действительный, действующий"
validity,"действительность, валидность, достоверность, обоснованность"
vanish,"исчезать, пропадать"
variable,"переменная, переменный, изменчивый"
variation,"вариация, вариант, разновидность, отклонение, колебание"
varied,"разнообразный, различный"
vein,вена
venture,"предприятие, авантюра, компания, рисковать"
verbal,"устный, вербальный, отглагольный, словесный"
verdict,"приговор, решение, вердикт"
verify,"проверить, проверять, подтвердить, подтверждать"
verse,"куплет, строфа, стих"
versus,"против, по сравнению с"
vertical,вертикальный
vessel,"судно, сосуд"
veteran,"ветеран, участник войны"
viable,"жизнеспособный, приемлемый, возможный, перспективный"
vibrant,"яркий, живой, энергичный, динамичный"
vice,"порок, недостаток"
vicious,"порочный, злобный"
viewpoint,"точка зрения, взгляд, мнение, точка обзора"
villager,"крестьянин, сельский житель"
violate,"нарушать, преступать"
violation,"нарушение, насилие"
virtue,"добродетель, достоинство, преимущество"
visa,виза
visible,"видимый, явный"
vocal,"вокальный, речевой"
voluntary,добровольный
voting,"голосование, выборы"
vow,"обет, клятва, клясться, давать обет"
vulnerability,"уязвимость, слабое место"
vulnerable,"уязвимый, ранимый, чувствительный"
wander,"бродить, блуждать, странствовать"
ward,"отделение, палата, больничная палата"
warehouse,"склад, складское помещение, хранилище"
warfare,"война, борьба, ведение войны, вражда"
warming,"потепление, согревание"
warrant,"гарантировать, ручаться, оправдывать, ордер, распоряжение"
warrior,"воин, воитель"
weaken,"ослабить, ослаблять"
weave,"ткать, плести"
weed,"сорняк, трава"
weekly,"еженедельно, еженедельный, недельный"
weird,"странный, чудаковатый, чудной, своеобразный"
welfare,"благосостояние, благополучие, социальное обеспечение"
well,"колодец, скважина, лунка"
well-being,"благополучие, самочувствие, здоровье, благосостояние"
whatsoever,"вообще, что угодно"
wheat,"пшеница, пшеничный"
whereby,"посредством, тем самым, посредством чего"
whilst,"в то время как, пока, тогда как"
whip,"хлыст, кнут, сечь, взбивать, хлестать"
whoever,"кто бы ни, кто бы то ни был"
wholly,"полностью, целиком"
widen,"расширить, расширять, расширяться"
widespread,"широкораспространённый, массовый, масштабный, повсеместный"
widow,вдова
width,ширина
willingness,"готовность, желание"
wipe,"протирать, обтирать, влажная салфетка"
wisdom,мудрость
wit,"ум, остроумие, смекалка"
withdraw,"отзывать, отбирать, изымать, отводить, выходить, выводить"
withdrawal,"вывод, снятие, аннулирование, отвод"
workforce,"персонал, рабочая сила, сотрудники, трудовые ресурсы"
workout,тренировка
workplace,"рабочее место, место работы"
workshop,"семинар, мастерская, мастер-класс, практикум"
worm,"червь, глист, шнек, личинка, червяк"
worship,"поклонение, богослужение, чтить, славить"
worthwhile,"ценный, стоящий, целесообразный, достойный"
worthy,достойный
wrist,запястье
yell,"крик, вопль, кричать, вопить"
yield,"доходность, выход, урожай, доход, давать, приносить, производить"
youngster,"молодой человек, юноша, мальчик, парень, подросток, молодняк"
